date,time,test,negative,confirmed,released,deceased,real_Rt
6/11/2020,0,1066888,1029447,11947,10654,276,1.11
6/12/2020,0,1081487,1045240,12003,10669,277,1.11
6/13/2020,0,1094704,1059301,12051,10691,277,1.11
6/14/2020,0,1100328,1066887,12085,10718,277,0.91
6/15/2020,0,1105719,1072805,12121,10730,277,0.91
6/16/2020,0,1119767,1084980,12155,10760,278,0.91
6/17/2020,0,1132823,1099136,12198,10774,279,0.91
6/18/2020,0,1145712,1111741,12257,10800,280,0.91
6/19/2020,0,1158063,1124567,12306,10835,280,0.91
6/20/2020,0,1170901,1137058,12373,10856,280,0.91
6/21/2020,0,1176463,1143971,12421,10868,280,0.88
6/22/2020,0,1182066,1150225,12438,10881,280,0.88
6/23/2020,0,1196012,1161250,12484,10908,281,0.88
6/24/2020,0,1208597,1175817,12535,10930,281,0.88
6/25/2020,0,1220478,1189015,12563,10974,282,0.88
6/26/2020,0,1232315,1200885,12602,11172,282,0.88
6/27/2020,0,1243780,1211261,12653,11317,282,0.88
6/28/2020,0,1251695,1219975,12715,11364,282,1.11
6/29/2020,0,1259954,1228698,12757,11429,282,1.11
6/30/2020,0,1273766,1240157,12800,11537,282,1.11
